あいじょう	愛情	爱情，爱慕
かなう		比得上，敌得过；适合
かなしむ	悲しむ	悲痛；悲伤
カバー		覆盖物，外罩；罩上，套上
かぶき	歌舞伎	歌舞伎
こうせい	構成	构成，结构
こうぞう	構造	构造，结构
こうたい	交替	轮流，替换
こうど	高度	高度
こうほ	候補	候选人，修补
こうりょ	考慮	考虑，思考
こおる	凍る	结冰，冻结
こがた	小形	小型
こくてつ	国鉄	国营铁路
こくみん	国民	国民
こくりつ	国立	国立
ごじゅう	五十	五十，五十岁
こじらせる		使病等恶化；使复杂化
コース		航线，路线；课程
ごぞんじ	ご存知	您知道，您认识
コーチ		教练，技术指导
こっか	国家	国家
こっかい	国会	国会，议会
ごてん	御殿	豪华的住宅，府第
ことわざ		谚语
こな	粉	粉，粉末
このみ	好み	爱好，嗜好；流行
ごめん		对不起，请原谅
こや	小屋	简陋的小屋，窝棚；临时性小屋
ごらん		观赏；...试试看
ゴルフ		高尔夫球
ころがる	転がる	滚，倒下；躺下
ころぶ	転ぶ	事态变化；跌倒
こん	紺	藏青，深蓝
こんなに		这样地，这么
さい	際	当...时，当...之际
ざいさん	財産	财产
さいはい		指挥；作战时主将的令旗
さからう	逆らう	违逆，不服从
さきごろ	先ごろ	前些天，不久以前
さきざき	先々	将来，很早以前
さく	昨	昨...
さけ		鲑鱼，大马哈鱼
ささえる	支える	支持，维持
たちあがる	立ち上がる	恢复；站起
たちまち		立即，不大工夫；忽然
たちむかう	立ち向かう	对抗；应付；前进
たっする	達する	达到，完成，到达
たて	縦	竖，纵；切断
だて	建て	楼房的层；房屋建筑样式
たとえ		纵然，即使
たにん	他人	他人，别人；外人
たのしみ	楽しみ	快乐，乐趣；安慰
たび	旅	旅行
たまたま	偶々	偶尔，偶然
たまねぎ		洋葱
ためす	試す	尝试，试验
たんい	単位	单位；学分
だんかい	段階	阶段，时期；等级
たんじゅん（だ）	単純	单纯；简单
ダンス		跳舞，舞蹈　
たんなる	単なる	仅，只
たんぱく		蛋白，蛋白质
ち	地	地，大地
ちいき	地域	地域，区域
ちか	地下	地下；秘密地方
ちじん	知人	熟人，相识
ちたい	地帯	地带，地域
ちちおや	父親	父亲
チーム		运动队；团体，组
チャンス		机会，时机
ちゃ	茶	茶；茶水
ちゅうい	中位	中等水平；当中
ちゅうかん	中間	中间，两者之间
しのびよる	忍び寄る	偷偷靠近，悄悄接近
しばしば		屡次，常常
じまん	自慢	自豪；自满，夸耀
しみじみ		仔细，认真；深切
しみん	市民	市民，公民
じむ	事務	事务，业务
しめくくる	締めくくる	概括，归纳；管束管理
しゃくん	社訓	公司的规则（训诫）
しゃぜ	社是	公司的基本方针
シャワー		沐浴
じゅう	銃	枪
しゅうきょう	宗教	宗教
じゅうじゅん	従順	顺从，温顺
しゅうせい	修正	修正；订正
しゅうだん	集団	集团，集体
しゅうちゅう	集中	集中
じゅうみん	住民	居民
じゅうらい	従来	以前，从来
しゅぎ	主義	主义，主张
じゅぎょうりょう	授業料	学费
しゅしょう	首相	首相，总理
じゅけん	受験	投考，应试
しゅっちょう	出張	出差
しゅっとう	出頭	出面，报到
しゅと	主都	首都
しゅふ	主婦	主妇；女主人
しゅよう	主要	主要
シュール(レアリズム)		超现实主义
じゅんかん	循環	循环，重复
しょうが		姜，生姜
しょうぎ	将棋	将棋，日本象棋
じょうげ	上下	上下（关系）
ささやく		耳语，小声说话
さじ		匙
さしずめ		归根到底，总之
さしみ	刺身	生鱼片
さす	差す	注入，倒进
さすが		不愧，毕竟
さつえい	撮影	摄影，照相
さっか	作家	作家
さっこん	昨今	最近，近来
さまたげる	妨げる	妨碍，阻挠
さら	皿	盘状物；碟子
さらし		漂白布
さらり		干脆，果断
サラリーマン		工薪阶层，职员
さわがしい	騒がしい	吵闹的，喧哗的
さんかっけい	三角形	三角形
ざんぎょう	残業	加班加点
さんち	産地	产地；出生地
し	氏	氏；（主要接男子姓名后表示尊称）先生
しきり	仕切り	间隔，隔开；间壁
しぐさ		动作，姿势
しげき	刺激	刺激，使...兴奋
しげん	資源	资源
しこく	四国	四国（日本地名）
しじ	指示	指示，指令
ししゅう	刺しゅう	刺绣
じしん	自信	自信，信心
しだいに	次第に	依次，逐渐地
じたく	自宅	自已的住宅，本宅
じつりょく	実力	实力；武力
してつ	私鉄	私营铁路
しな	品	物品，东西
しょうすう	少数	少数
じょうだん	冗談	笑话，玩笑
しょうにん	商人	商人
しょうぶ	勝負	胜负，输赢
じょうほう	情報	情报；信息，消息
しょるい	書類	文件
しりぞく	退く	退出，后退
しりつ	市立	私立，私营
しりょう	資料	资料
しる	汁	汁，液
しわ		皱纹，褶子
しん		芯；嫩芽
しんがく	進学	升学
しんこく	深刻	深刻，严肃
しんずる	信ずる	相信，确信，信仰
しんりん	森林	森林
すいじ	炊事	烹调，炊事
すいちょく	垂直	垂直
すいとりがみ	吸取紙	吸墨纸，吸水纸
スイマー		游泳运动员
すくなくとも	少なくとも	至少，最低
スケジュール		日程表，程序表
スケート		滑冰，溜冰；冰鞋
すこしも	少しも	一点也（不）...
すじ	筋	情节；筋；线条
すじみち	筋道	条理；顺序
すす		煤烟子；灰尘
スタイル		风格，文体；样式
スタート		出发点；开始
ちゅうしょう	抽象	抽象
ちょうこく	彫刻	雕刻
ちょうし	調子	身体状况；状态；调子
ちょうしょ	長所	长处，优点
ちょうじょう	頂上	山顶，顶峰；极点
ちょうせい	調整	调整，调节
ちょくご	直後	...之后不久，紧接着
ちらす	散らす	把...分散开；散布
すっきり		舒畅；流畅，通顺
すてき		极好，绝妙
スパイ		间谍
スーパーマーケット		超级市场，自选市场
スープ		（西餐）汤
すみ	炭	炼焦之物；炭，木炭
すんぽう	寸法	尺寸
せい	製	...制，...制造
せいかく（だ）	正確	正确，准确
せいかく	性格	特征，特性；性格
せいぞん	生存	生存
ぜいたく		奢侈，铺张浪费
せいのう	性能	性能，效能
せいへき	性癖	癖好，积习
せけん	世間	人世间，社会
せつ	説	意见，主张；学说
せっきょく	積極	积极，主动
ぜんいん	全員	全体人员
ぜんご	前後	前后；相继
せんじつ	先日	前几天，前些日子
ぜんぱん	全般	全面，全体
せんぷうき	扇風機	电扇；鼓风机
せんろ	線路	（火车等的）线路；轨道
そうぞうしい	騒々しい	喧哗的，吵闹的
そうとう	相当	[名.自サ]相当；适合　[副.形动]　颇，很　
そうり	総理	总理
ぞくする	属する	属于，归于
ソフト(ウエア)		软件，程序设备
そぼく	素樸	素朴，纯朴
そむける	背ける	（把脸、背等）转过去
そもそも		毕竟，原来；说起来
それなら		如果那样，要是那样的话
そろえる		使...一致；齐备
ぞんじる	存じる	认为；知道
た	他	其他，别人
だい	台	辆，台，架
たいいく	体育	体育
たいかい	大会	大会
だいこん	大根	萝卜
たいじゅう	体重	体重
たいしょう	対象	对象，客体
だいしょう	大小	大大小小，大小
だいじん	大臣	大臣
たいせい	体制	体制
だいとうりょう	大統領	总统
だいぶぶん	大部分	大部分，多半
たいへいよう	太平洋	太平洋
ダイヤル		拨号盘；刻度盘
たいりつ	対立	对立，对峙
たえず	絶えず	不断，经常
たかめる	高める	提高，抬高，加高
たく	宅	住宅，家
タクシ－		出租汽车，计程车
たたえる		洋溢；装满
たち		...们，...等
ついきゅう	追究	追究，觉究
つかまる	捕まる	抓住，揪住；被捕
つきあう		交往，交际；陪伴
つく	就く	就（座）；就（职）
つぐ	次ぐ	次于；接着
つくづく		仔细；深刻地；切实
つけくわえる	付け加える	补充，附加
つたう	伝う	顺，靠，沿
つちかう	培う	培养，培植
つっこむ	突っ込む	钻进；插入
つまる	詰まる	堵塞；充满
で		那么；因为...所以
であう	出会う	遇到，碰见
ていか	低下	低落，下降
ていしゅつ	提出	提出；提交
できあがる	出来上がる	做完，竣工
あじわう	味わう	玩味；品尝
あつかう	扱う	对待，接待；使用，操作
あっしゅく	圧縮	压缩，挤压
あばれる	暴れる	（胡）闹
あまど	雨户	木板制套窗，木板制套门
あまる	余る	余，剩；过分
あやしい	怪しい	奇怪的，可疑的
あん	案	方案，计划；想法，主意
あんがい	案外	意外，没想到
あんなに		那样地，那么
いきなり		突然，冷不防
いご	以後	以后，之后；今后
いちば	市場	市场
いったん	一旦	一旦，万一；既然
いっぽう	一方	（两个中的）一个；一方，一方面
いばる	威張る	摆架子
イメージ		（影）像，图像，形象
いわ	岩	岩（石）
うけとり	受け取り	收（领），理解方式
うすぐらい	薄暗い	微暗的
うずめる	埋める	（掩）埋；覆盖，填（补）
うちゅう	宇宙	宇宙
できごと	出来事	事件，事故
でこぼこ	凸凹	凹凸不平，高低不平；不均衡
デ-タ		数据
てつがく	哲学	哲学
てってい	徹底	彻底，贯彻到底；全面，普遍
デート		（男女）约会；日期
テニス		网球
てのひら	手の平	手掌
てんかい	展開	展开，开展
でんき	伝記	传记
でんし	電子	电子
てんしん	転身	改变职业，改变身分等；转身
でんせん	伝染	传染　
てんねん	天然	天然，自然
と	都	东京都；首都
といかけ	問い掛け	询问，提问
とうけい	統計	统计
とうじつ	当日	当天，当日
どうせ		终归，无论如何
とうぶん	当分	目前，最近
ときに	時に	偶尔，有时
とく	解く	解开；解释，解答
とこのま	床の間	壁龛
とだな	戸棚	柜，橱
とたん	途端	刚...的时候，正巧
どっぷり		完全（沉浸）；（把毛笔等）蘸満（墨汁）
とない	都内	东京都内；都城内
とびこむ	飛び込む	投入；跳进；突然闯进
ドラマ		戏剧；戏剧性事件
トランプ		扑克牌，纸牌
とりひき	取引	交易，做生意
とれる	取れる	消除，解除
とろび	とろ火	文火，微火
トン		吨
トンネル		隧道，山洞；风洞
ないじつ	内実	内情，实情
なかば	半ば	中叶，一半；中央，在...当中
なかみ	中身	内容；内装的东西
なかよし	仲良し	友好，相好，好友
ながれ	流れ	水流；潮流
なぐさめる	慰める	安慰，安抚
なぜなら(ば)		因为，原因是
なっとく	納得	信服，理解，领会
なやむ	悩む	苦恼，烦恼
ならば		那么；如果可能的话
なんと		多么；怎样
なんらか		某些，多少，稍微
にっちゅう	日中	白天；正午；日本与中国
ニュ-ヨ-ク		（美国）纽约
にんじゅう	忍従	忍受，隐忍服从
ねぐるしさ	寝苦しさ	难以入睡
ねじ		螺丝，螺栓
ねじる		拧，扭
ねつく	寝付く	睡着，入睡
ねっしん（だ）	熱心	热心，热情
ねんれい	年齢	年龄
のうりょく	能力	能力
のこぎり	鋸	锯，锯子
のせる	載せる	把...放上，摆上；登载
のぞく		露出，露出一点；窥视
のばす	伸ばす	发挥，施展；伸直
のびる	伸びる	伸长，长高；发展
のべる	述べる	叙述，说明
ノ-ベルしょう	ノ-ベル賞	诺贝尔奖
のんき		安闲，悠闲
のんびり		舒舒服服，悠然自得
ば	場	场所，地点
ばいしゅう	買収	收买；收购
はえる	生える	生长
はかどる		（工作等）顺利进展
はく	泊	宿；过夜
はしご		梯子
はずす	外す	取下，解开；避开
パーセント		百分率，百分之...
はだし		赤脚，光着脚
はたして	果して	果然，果真
はちじゅう	八十	八十；八十岁
はっき	発揮	发挥，施展
バックアップ		支持，做后盾
ばっさり		一刀斩断，坚决除去
はっそう	発想	构思；主意
ばったり		突然倒下貌；突然相遇貌
はっと		吃惊貌；突然想起貌
ぱっと		突然一下子；做出的突然动作
ハ-ド(ウエア)		硬件
ははおや	母親	母亲
はぶく	省く	精简，省略
はやる		流行，时兴；兴旺
バランス		平衡，均衡
はりがね	針金	铁丝，金属线
はりきる	張り切る	鼓足干劲；拉紧
はれる		肿，肿胀
はんえい	反映	反映；反射
はんだん	判断	判断；推测
はんとし	半年	半年
ばんのうあいかぎ	万能合鍵	万能钥匙
はんばい	販売	贩卖，出售
ひいずるくに	日出ずる国	日出之国（日本的美称）
ひき	引き	偏袒，引荐，提拔
ひきずる	引き摺る	拖、拉、曳
ひずみ		歪斜；变形
ひたる	浸る	沉浸，沉湎；浸泡
ひとけた	一けた	一位数
ひとさしゆび	人差し指	食指
ひとにぎり	一握り	一小部分；一把
ひとり	独り	独自，单独
ひとりひとり	一人一人	每人；一个人一个人地
ひねる	捻る	拧，扭
ひびく	響く	响；影响
ピ-マン		圆辣椒
ひみつ	秘密	秘密；暗中
ひも		细绳，带子
びょう	病	疾病；...病
ひょうか	評価	评价；定价
ひょうじょう	表情	表情
ひょっとしたら		或许，说不定
ひろめる	広める	传播，普及；扩大
ふうぞく	風俗	风俗
ふうふ	夫婦	夫妇，夫妻
ふえ		笛子，哨子
フォーマル		正式的；合法的
ふかい	不快	不愉快，不高兴
ぶき	武器	武器
ふこう	不幸	不幸，倒霉
ふごうり	不合理	不合理
ふじん	夫人	夫人
ふぞろい		不整齐，不一致
ふち	縁	边，框
ぶっきょう	仏教	佛教
ふてっかく	不適格	不合格；没资格
ふところ	懐	被环抱处；胸怀
ふなのり	船乗り	海员，船员
ふぼ	父母	父母
プライベート		私人的，个人的
ぶらさがる	ぶら下がる	吊着，悬挂
プラス		有利；相加，正号
ブランデー		白兰地酒
ふり	不利	不利
ふるう	振るう	显示，发挥；振作
ふるえる	震える	颤抖，发抖
ぶんだん	分断	分裂，断裂
ぶんや	分野	领域，范围，范畴
ペイ		工资，报酬
へいめん	平面	（水）平面
へこむ		凹下，洼下，陷下
へだたり	隔たり	差距，隔阂；差别
へだたる	隔たる	距离，间隔
べつべつ	別々	分别，各自
ベテラン		老手，老练
へる	経る	经过，通过；经历
へんこう	変更	变更，改变
ほ	歩	步
ほう	法	法（律）；（方）法
ぼうずあたま	坊主頭	光头，秃头
ほうせき	宝石	宝石
ほこり	誇り	自豪，荣誉
ほこる	誇る	夸耀，自豪　
ほしょう	保証	保证，担保
ポップアート		波普艺术（常以日常杂物为题材，把实物嵌入画与雕塑中的一种现代派艺术
ボーナス		奖金；红利
ほねぐみ	骨組み	骨架，骨骼
ほほえむ	微笑む	微笑
ほる	彫る	雕刻
ほんしゅう	本州	（日本）本州
ほんの	本の	仅仅，少许
まあ		啊，哎呀
まい	毎	每...
マイク		麦克风，话筒
まえむき	前向き	积极，进步；向前
まかせる	任せる	听任；委任
まかなう	賄う	维持，供应
まかふしぎ	まか不思議	非常离奇，不可思议
まくら		枕头；垫的东西
まさしく	正しく	的确，诚然
まざる	混ざる	混杂，夹杂
まちあわせる	待ち合わせる	等待会面
まちかまえる	待ち構える	等待，等候
まっか	真っ赤	通红，鲜红
まっくら	真っ暗	漆黑，乌黑
まぶしい	眩しい	耀眼的，眩目的
まま		一如原样，按照...的样子
み		表示情况、程度、样子
みあげる	見上げる	仰视
みかけ	見掛け	外表，外观
みごと	見事	出色，精彩；美丽
ミサイル		导弹；火箭
みちる	満ちる	满（潮）；充满
みっちゃく	密着	靠紧，粘着
みにくい	醜い	丑的，丑恶的，卑鄙的
やっきょく	薬局	药房
やど	宿	家；旅店
やりかた	やり方	做法，手段
やるき	やる気	干劲，干活的愿望
ゆいごんじょう	遺言状	遗嘱
ゆうきゅうきゅうか	有給休暇	工资照发的休假
ゆきづまる	行き詰まる	行不通，停滞
ゆくえ	行方	去向，下落；前途
ゆでる	茹でる	煮
ゆびさす	指さす	用手指
ユーモア		幽默，诙谐
ようい	容易	容易，简单
ようが	洋画	西洋画
ようき	容器	容器
ようご	用語	用词，措词；术语
ようさい	洋裁	西式裁剪；西式缝纫
ようは	要は	重要的是，归根到底
よく	欲	欲，欲望
よくも		竟能，竟敢
よす		停止，作罢；戒掉；辞掉（职务）
よびだす	呼び出す	唤出来，叫出来
よぶん	余分	过多地，多余，格外
よみうり	読売	（江户时代在街头）边读边卖的瓦版报纸；《读卖新闻》的简称
リアリズム		写实主义；现实主义
りつ	率	率，比率
れいぎ	礼儀	礼仪，礼节
れいぼう	冷房	冷气设备；放冷气
レモン		柠檬
ろうそく	蝋燭	蜡烛
ろうどうしゃ	労働者	工人，劳动者
ろうにん	浪人	失学学生（未考进大学而想继续参加高考的人）；流浪者
ロボット		机器人；自动装置
ろん	論	看法，观点，讨论
わが		我的，我们的
わく		产生，发生；涌出
わびる		道歉
わり	割	十分之一；比率
わりきる	割り切る	武断地决定，简单地下结论
わりに	割に	比较，格外，出乎意料
きふ	寄附	捐助，捐赠
こころならずも	心ならずも	出于无奈，不得不
せんとう	先頭	前头，最前头
ひょうげん	表現	表现；表达
あいかわらず	相変わらず	仍旧，依然如故
あかり	明かり	灯，光
うめる	埋める	埋；填
うらがえす	裏返す	反过来，翻过来
うらむ	恨む	怨恨，埋怨
うわさ	噂	传说，议论
えいきゅう	永久	永久
えいぶん	英文	英文
えいわ	英和	英日，英和
えん	縁	缘分；血缘（关系）
えんぎ	演技	演技；表演
えんげき	演劇	戏剧
えんぜつ	演説	演说，讲演
えんそう	演奏	演奏
おうせつ	応接	接待
おうだん	横断	横渡，横穿
おうよう	応用	应用，运用
おおざっぱ		粗略
おか	丘	丘陵，小山
おだやか（だ）	穏やか	平稳，平静；温和，和气
オートメーション		自动化
おとる	劣る	劣，次；不如
か	蚊	蚊
かいいん	会員	会员
かいふく	回復	恢复，康复
かいほう	解放	解放
かいほう	開放	开放
かう	飼う	饲养
かきとめ	書留	挂号（信）
かくちょう	拡張	扩张，扩充
かくにん	確認	确认，证实
かける	欠ける	缺少，不足
かざり	飾り	装饰（品）
かしこい	賢い	聪明的，伶俐的
かしゅ	歌手	歌手
がっかい	学会	学会
かっこう	格好	名:外形，形状；装束。形动:恰好，适当
かつじ	活字	铅字
かなづかい	仮名遣い	假名用法，假名拼写法
かならずしも	必ずしも	（与否定语呼应）（不）一定...,未必...
かね	鐘	钟
かみなり	雷	雷
からかう		逗弄，戏弄，嘲弄
かわせ	為替	汇票；外汇
かん	缶	罐，筒
かんきゃく	観客	观众
かんさい	関西	（日本）关西地区
かんせつ	間接	间接
ぎいん	議員	议员
きかん	期間	期间
きごう	記号	标记，符号，记号
きじ	記事	记事，消息，报道
きせる	着せる	使...穿上，给...着上
きにゅう	記入	填写
きばん	基盤	基础，底座
キャンパス		（大学）校园
きゅう	球	球
きよう	器用	巧，灵巧；手巧
きょうきゅう	供给	供给，供应
きょうしゅく	恐縮	恐惶，羞愧
きょく	曲	乐曲，曲子
きらう	嫌う	讨厌，厌恶
きれる	切れる	期满；中断
きんがく	金額	金额
ぐうぜん	偶然	偶然
くしゃみ		喷嚏
くしん	苦心	苦心，费心
くずれる	崩れる	破碎；崩溃，倒塌
くだ	管	管
くつう	苦痛	痛苦
くみあい	組合	公会，工会；合作社
みはる	見張る	看守，监督
みぶん	身分	身分；地位
みみもと	耳元	耳边，耳旁
みんかん	民間	民间；私营
むき	向き	方向，倾向
むす	蒸す	蒸；闷热
むち		鞭子
むでんき	無電器	无线电收发报机
むなしい	虚しい	徒然的，空虚的
むりやり	無理矢理	硬是，强迫
めいかく	明確	明确
めいさく	名作	名作，佳作
めいっぱい	目いっぱい	竭尽全力
めいめい	銘々	各个，各自
めざめ	目覚め	睡醒；觉悟
めでたい		可喜可贺的；幸运的
めもり	目盛り	刻度，分度
もうい	猛威	凶猛的来势
もうける	設ける	制定，设立
もぎとる	もぎ取る	夺走；拧掉
もぐる	潜る	潜入（水中等），钻进
もしかするか		或许，万一
もちぬし	持ち主	所有者，物主
ものごと	物事	事物，事情
もやす	燃やす	激起；燃烧
もよおし	催し	活动，集会；举办
もる	盛る	盛，盛满
モンスーン		季风
くわわる	加わる	增加，添加；加入，参加
ぐんたい	軍隊	军队
けいぞく	継続	继续
げいのう	芸能	（电影、戏剧、音乐、美术等群众性）娱乐活动（的总称）
けいようし	形容詞	形容词
けいようどうし	形容動詞	形容动词
げか	外科	外科
げしゃ	下車	下车
けち		吝啬，小气
けっさく	傑作	杰作
けはい	気配	迹象，苗头，情形
ゲーム		游戏；比赛
けわしい	険しい	险峻的
げんど	限度	限度
げんり	原理	原理
こ	粉	粉（末）
こい	恋	恋爱，爱情
こいびと	恋人	恋人，情人
こうか	高価	高价
こうきょう	公共	公共，公众
こうけい	光景	光景，情景
こうせい	公正	公正
こうてい	肯定	肯定，承认
こうむる	被る	蒙受，招致
こうもく	項目	项目
ごかい	誤解	误解，误会
こきょう	故郷	故乡
こぐ	漕ぐ	划（船）；荡（秋千）
こする	擦る	擦，搓，蹭
こっそり		悄悄地
こと	琴	古琴，筝
コピー		（名）副本，抄本。（名.他サ）复制，复印
こぼれる		露出；溢出
コミュニケーション		交流，通信
こゆび	小指	小手指
ごらく	娯楽	娱乐
こる	凝る	热中，入迷
ころす	殺す	杀，杀死；忍住，抑制
こんご	今後	今后，以后
コンピューター		电子计算机
こんやく	婚約	订婚
さいちゅう	最中	正在
さいばん	裁判	审判
さきほど	先程	刚才
さぐる	探る	探求，探访；寻，摸索
ざせき	座席	座席
さつ	札	纸币，钞票
さばく	砂漠	沙漠
サービス		服务，招待；奉送
さびる	錆びる	生锈
ざぶとん	座布団	座垫
さます	覚ます	弄醒
さめる	冷める	冷却，变冷
サラダ		沙拉
し	詩	诗
しあがる	仕上がる	做完，完成
じえい	自衛	自卫
じかに	直に	直接地
しじゅう	始終	（名）始终，自始至终。（副）经常，不断
しじん	詩人	诗人
しずまる	静まる	寂静，平静；减弱
じたい	事態	事态，局势
しつこい		执拗的，纠缠不休的；浓的
しっと	嫉妬	嫉妒
じっと		目不转睛地，聚精会神地
しっぴつ	執筆	执笔
じみ	地味	朴实，（朴）素
しめい	氏名	姓名
じめん	地面	地面
しゃがむ		蹲
しゃこ	車庫	车库
じゅうだい	重大	重大，重要
しゅご	主語	主语
しゅっしん	出身	籍贯，出身地；出身
しゅやく	主役	主角，主要人物
じゅんさ	巡查	警察
じゅんすい	純粋	纯粹，纯真
じゅんちょう	順調	顺利
じゅんばん	順番	顺序
しょうがい	障害	障碍，妨碍
じょうきゃく	乗客	乘客
じょうきょう	上京	进京，去东京
しょうご	正午	正午
じょうしゃ	乗車	乘车，上车
じょうじゅん	上旬	上旬
しょうばい	商売	商业，买卖
じょうはつ	蒸発	蒸发，汽化
しょうめん	正面	正面，对面
しょうりゃく	省略	省略
しょくば	職場	车间，工作单位
しょくひん	食品	食品
しょめい	署名	署名，签名
しょり	処理	处理
しり	尻	屁股，臀部
じんぶつ	人物	人物
す	巣	巢穴，窝
すいさん	水産	水产
すいせん	推薦	推荐
そうい	相違	差异，不同
そうおん	騒音	噪声
そうしき	葬式	葬礼
ぞうだい	増大	增大
そうち	装置	装置，装备
そくてい	測定	测量，测定
そくど	速度	速度
そのうち		过几天，不久
そんがい	損害	损失，损害，损耗，破损
だい	題	题目，标题
だいきん	代金	货款
たいけい	体系	体系，系统
たいほ	逮捕	逮捕
たすかる	助かる	得救；得到帮助
ただし	但し	但（是），可是
たたむ	畳む	叠，收拢　
だとう	妥当	妥当
たに	谷	山谷，山洞
つぶれる	潰れる	倒闭，坏
つみ	罪	罪
つり	釣り	垂钓；吊绳，吊钩
ていあん	提案	提案，建议
ていき	定期	定期
ていきけん	定期券	定期票，月票
ていし	停止	停止，停顿
ていしゃ	停車	刹车，停车
ていでん	停電	停电
でいり	出入り	出入；常来常往
てきせつ	適切	适当，恰当
てちょう	手帳	笔记本
てっぽう	鉄砲	步枪；枪炮
テーマ		课题，题目
てんいん	店員	售货员，店员
でんち	電池	电池
テント		帐篷
でんりゅう	電流	电流
でんりょく	電力	电力
とう	塔	塔
ずいひつ	随筆	随笔，漫笔
スカーフ		围巾
せいき	世紀	世纪；年代
ぜいきん	税金	税金，税款
せいぞう	製造	制作，制造
せいりつ	成立	成立
せきにん	責任	责任
せんぞ	先祖	祖先，先人
せんでん	宣伝	宣传，宣讲
ぞう	象	大象
たのみ	頼み	请求，依赖
たば	束	把，捆，束
ためらう		踌躇，犹豫　
たんき	短期	短期
だんち	団地	（住宅等）小区
チーズ		奶酪
ちゅうもく	注目	注目，注视
ちょっかく	直角	直角
ついで		顺便
つうよう	通用	通用，有效
つきあたる	突き当たる	碰上，撞上；挡住，走到尽头
とういつ	統一	统一
とうげ	峠	山口，山路顶点
どうさ	動作	动作
とうじょう	登場	出现；登场，登台
どうとく	道徳	道德
とうひょう	投票	投票
どうわ	童話	童话
とくしゅ	特殊	特殊，特别
とくしょく	特色	特色
どくとく	独特	独特，独有
どくりつ	独立	独立
ととのう	整う	完整，（文章结构）严谨
トラック		卡车，载重汽车
なか	仲	关系，交情
なぞ	謎	謎（语）
なでる	撫でる	抚摸
なま	生	未加工的；生的，鲜的
なまける	怠ける	懒，懒惰
なみき	並木	行道树
なんきょく	南極	南极；南极大陆
にあう	似合う	合适，相称
にがて（だ）	苦手	不擅长；不好对付
にくむ	憎む	憎恶，憎恨
にぶい	鈍い	沉闷的；钝的
にょうぼう	女房	妻，老婆
ねったい	熱帯	热带
ねっちゅう	熱中	热中，着迷
ねんげつ	年月	年月，光阴
のぞみ	望み	愿望；指望
のろい	鈍い	缓慢，迟缓
バイオリン		小提琴
ひてい	否定	否定
ビデオ		录像
ひとまず		暂且，姑且
ひびき	響き	响声，音响；反响，回音
ひひょう	批評	评价，评论
ひふ	皮膚	皮肤
ひよう	費用	费用
ビール		啤酒
びんせん	便箋	便条，字条，信纸
ふあん（だ）	不安	不安，不放心
ふくし	副詞	副词
ふける	更ける	（夜）深
ぶっか	物価	物价
ぶつかる		撞，碰；冲突
ふで	筆	毛笔
ふとう	不当	不（正）当
ふまん	不満	不满意
フライパン		平底锅
ブラウス		罩衫
ふりょう	不良	小流氓；不好
プログラム		节目（单）；进度（表）
ぶん	文	文章；句子
へいこう	平行	平行
ベンチ		长椅
ボーイ		男服务员；小男孩
ほうげん	方言	方言
ほうもん	訪問	访问
ぼうや	坊や	对男孩子的爱称
ほお	頬	颊
ほがらか	朗らか	舒畅，快活；晴朗
ほぞん（する）	保存	保存
ほどう	歩道	人行道
ぼん	盆	盘；盂兰盆会
ほんもの	本物	真货，真东西
マイナス		消极，不好；减（号），负（号）
マーケット		市场
まさか		（后与否定推量语呼应）决（不会）...，难道...
まとまる		集中；解决，结束
まんてん	満点	满分
みおろす	見下ろす	俯视
みのる	実る	结果实
みやこ	都	首都，都会
みょう	妙	奇妙；巧妙
むかい	向かい	对面
むげん	無限	无限，无止境
むこう	無効	无效，失效
むし	無視	无视
むすう	無数	无数　
めいしん	迷信	迷信
めうえ	目上	长辈，尊长
メモ		笔记，记录；备忘录
めんきょ	免許	执照，许可（证）
もくひょう	目標	目标
もち	餅	粘糕
もちあげる	持ち上げる	拿起，抬起
もとづく	基づく	根据，起因于
ものさし	物差し	尺度，标准；尺
ものすごい	物凄い	可怕的；惊人的，猛烈的
やくしょ	役所	官厅
やっかい	厄介	麻烦，难办；照顾
やっつける		狠整一顿；干完
ゆうしょう	優勝	优胜
ゆうひ	夕日	夕阳
ゆうり	有利	有利
ゆか	床	地板
ゆき	行き	（名）去，行（后缀）开往
ゆそう	輸送	运输
よあけ	夜明け	佛晓
よう	酔う	醉；头晕
ようき	陽気	爽朗
はいたつ	配達	投递（员），发送（人员）
はく	履く	穿（鞋）
ばくはつ	爆発	爆炸；爆发
はさまる	挟まる	夹，被...夹住
はずれる	外れる	脱落，掉下；不合（道理），落空
はだか	裸	裸体；裸露
はっしゃ	発車	发车，开车
はつでん	発電	发电
はなはだしい	甚だしい	非常的
はなやか	華やか	华丽，美丽；盛大，显赫
ばね		弹簧，发条
ばんち	番地	门牌号；住处
はんにん	犯人	犯人
ピアノ		钢琴
びじん	美人	美人
ようじん	用心	注意，警惕
ようち	幼稚	幼稚
ようちえん	幼稚園	幼儿园
ようてん	要点	要点
ようりょう	要領	要领；决窍
よき	予期	预期
よつかど	四つ角	十字路口
ヨット		体育（比赛）帆船
よなか	夜中	半夜
リットル		升，公升
りょうがわ	両側	两侧
れいがい	例外	例外
れいせい	冷静	冷静
ローマじ	ローマ字	罗马字
ろんぶん	論文	论文
わざと		故意
ハンドル		方向盘；手柄
アイロン		熨斗
アクセサリー		首饰；附件
あくま	悪魔	恶魔；凶恶的人
